date-of-week,years-of-life,composer-name,piece,where,bio-note,tags,paladin
2025-01-11,"1098–1179","Hildegard von Bingen","O vis aeternitatis (O strength of eternity)","Holy Roman Empire (Rhineland; modern Germany)","abbess, founded convents, visionary","choral, medieval, sacred, chant, modal, prayer","nifle"
2026-01-18,"1567–1643","Claudio Monteverdi","Vespro della Beata Vergine, SV 206: IX. Concerto. Audi coelum","Italy (Mantua, Venice)","bridge figure between renaissance and baroque","sacred, choral, modal, early baroque, vespers","nifle"
2026-04-12,"1659–1695","Henry Purcell","Funeral Sentences: March in C minor, Z. 860a","England","baroque composer of sacred and ceremonial music","instrumental, baroque, minor key, processional, ceremonial, dark","nifle"
2026-05-24,"1678–1741","Antonio Vivaldi","The Four Seasons: Winter","Italy (Venice)","baroque violin virtuoso and concerto composer","orchestral, baroque, violin, programmatic, energetic, seasonal","olaf"
2026-03-01,"1685–1750","Johann Sebastian Bach","Toccata and Fugue in F major, BWV 540","Germany","baroque master of counterpoint and organ","organ, baroque, fugue, contrapuntal, sacred, architectural","olaf"
2026-03-01,"1732–1809","Joseph Haydn","Symphony No. 44 in E minor (“Trauer”) — II. Menuetto; IV. Finale","Austria","sturm und drang symphonist, classical architect","orchestral, classical, minor key, sturm und drang, rhythmic, proto-beethoven","nifle"
2026-03-15,"1756–1791","Wolfgang Amadeus Mozart","Symphony No. 40 in G minor, K. 550 — I. Molto allegro","Austria","central figure of high classical style","orchestral, classical, minor key, symphony, sonata form, dramatic","nifle"
2026-02-15,"1770–1827","Ludwig van Beethoven","Symphony No. 7 — II. Allegretto","Germany / Austria (Bonn, Vienna)","pivotal classical→romantic composer","orchestral, classical, minor key, dramatic, rhythmic","nifle"
2025-01-11,"1835–1921","Camille Saint-Saëns","Le Carnaval des Animaux: L’Eléphant","France","romantic concert composer","piano, orchestral, programmatic, late romantic, humorous","olaf"
2026-02-08,"1843–1907","Edvard Grieg","Morning Mood (from Peer Gynt)","Norway","national romantic, folk-inspired composer","orchestral, lyrical, pastoral, programmatic","olaf"
2026-01-25,"1849–1895","Benjamin Godard","Fantaisie persane (Persian)","France","lyrical romantic miniaturist","instrumental, character piece, exoticism, modal color","olaf"
2026-02-01,"1872–1958","Ralph Vaughan Williams","The Lark Ascending; Fantasia on a Theme by Thomas Tallis","England","early-music revivalist, folk collector","pastoral, modal, sacred influence, reflective","nifle"
2026-03-15,"1874–1934","Gustav Holst","The Planets, Op. 32: Jupiter, the Bringer of Jollity","England","english composer, colleague of vaughan williams","orchestral, romantic, energetic, programmatic, celebratory","olaf"
2026-02-22,"1906–1975","Dmitri Shostakovich","String Quartet No. 8 in C Minor, Op. 110: III. Allegretto; Waltz No. 2 (Suite for Variety Orchestra)","Soviet Union (Russia)","20th-century modernist under political pressure","string quartet, orchestral, minor key, modern, ironic, dance, contrast","olaf"
2026-05-31,"1944–2013","John Tavener","The Lamb","England","modern sacred composer influenced by orthodox christianity","choral, sacred, modern, contemplative, minimalist","nifle"
